Url of Pages Being Spidered,Level Away from Home,Status,Internal Pages that link here,Link text,Internal links on that page,External links on page,Size of page,Title Tag of Page,Meta Description,Meta Keywords
http://www.theyoungfirm.com/,0,200,3,start,46,8,26587,"New Orleans, Louisiana Personal Injury / Maritime Lawyers — Gulf Coast Trial Attorneys – The Young Firm","At The Young Firm in New Orleans, Louisiana, our personal injury and maritime lawyers help Gulf Coast-area victims obtain the compensation to which they are entitled. For over 40 years we have successfully represented those injured as a result of another\'s negligent conduct.","louisiana, new orleans, maritime, personal injury, lawyers, gulf coast, attorneys, the young firm, admiralty, verdicts, settlements, damages, florida, alabama, texas, mississippi, seamen, longshoreman, harbor workers, oil rig, shipyard, traumatic brain, spinal cord, burn, injury, workers compensation, workplace accidents, defective products, premises liability, wrongful death"
http://www.theyoungfirm.com/index.html,1,200,51,"The Young Firm - Attorneys at Law | New Orleans, Louisiana",46,8,26587,"New Orleans, Louisiana Personal Injury / Maritime Lawyers — Gulf Coast Trial Attorneys – The Young Firm","At The Young Firm in New Orleans, Louisiana, our personal injury and maritime lawyers help Gulf Coast-area victims obtain the compensation to which they are entitled. For over 40 years we have successfully represented those injured as a result of another\'s negligent conduct.","louisiana, new orleans, maritime, personal injury, lawyers, gulf coast, attorneys, the young firm, admiralty, verdicts, settlements, damages, florida, alabama, texas, mississippi, seamen, longshoreman, harbor workers, oil rig, shipyard, traumatic brain, spinal cord, burn, injury, workers compensation, workplace accidents, defective products, premises liability, wrongful death"
http://www.theyoungfirm.com/html/firm.html,1,200,51,About the Firm,81,8,28779,"New Orleans, Louisiana Personal Injury, Maritime, and Admiralty Attorneys","Our New Orleans, Louisiana personal injury, maritime, and admiralty attorneys represent catastrophically injured clients throughout the Gulf Coast and Mississippi River regions. For more than 40 years, The Young Firm has helped countless victims obtain just compensation for their injuries.","new orleans, louisiana, personal injury, maritime, admiralty, attorneys, the young firm, robert j young jr, timothy j young, robin r klibert, jones act, cruise ship, platform, oil rig, shore excursions, offshore, nearshore, diving, death on the high seas, longshore, harbor workers, catastrophic personal injuries, traumatic brain injury, spinal cord injury, burn, workplace accidents, premises liability, product liability, workers compensation, wrongful death, medical malpractice, birth, misdiagnosis, surgical errors, auto, truck, motorcycle, pedestrian, bicycle, railroad"
http://www.theyoungfirm.com/html/lawyers.html,1,200,51,Our Lawyers,82,8,27735,"New Orleans, Louisiana Admiralty and Maritime Lawyer - Attorneys Serving the Gulf Coast","An experienced New Orleans, Louisiana admiralty and maritime lawyer can help you maximize the return on your claim. Meet our attorneys: Timothy J. Young, and Robin Richmond Klibert. We also handle claims involving personal injury, auto accidents, and maritime medical claims.","new orleans, louisiana, admiralty, maritime, lawyer, attorneys, robert j young jr, timothy j young, robin richmond klibert, the young firm, gulf coast, jones act, claim, lawsuit"
http://www.theyoungfirm.com/html/staff.html,1,200,51,Our Staff,81,8,22612,"The Young Firm: Paralegals, Investigators and Office Staff","At The Young Firm, our experienced team of legal assistants, case investigators and office staff are a vital part of our law firm. Our office staff helps with helping client coordinate appointments, interviewing witnesses, and preparing maritime and injury cases for our lawyers to take to trial.","the young firm, paralegals, investigators, office staff, experience, maritime, louisiana, gulf coast, injury claims, boating accident, admirality lawyer"
http://www.theyoungfirm.com/html/results.html,1,200,51,Verdicts and Settlements,81,8,38624,Personal Injury and Maritime Lawyers in Louisiana – Verdicts and Settlements,The personal injury and maritime lawyers at The Young Firm\'s Louisiana office have obtained millions of dollars in verdicts and settlements on behalf of clients statewide and throughout the Gulf Coast area. We are proud to share a sampling of these successes with our prospective clients.,"personal injury, maritime, lawyers, louisiana, verdicts, settlements, new orleans, premises liability, wrongful death, widow, cruise line, offshore injury, jones act, gulf coast"
http://www.theyoungfirm.com/html/stories.html,1,200,51,Client Success Stories,82,8,25905,"Personal Injury and Maritime Attorney – New Orleans and Baton Rouge, Louisiana","A maritime and personal injury attorney at our New Orleans and Baton Rouge, Louisiana-area firm can help you obtain a settlement or verdict to cover your medical expenses, lost wages, and other losses incurred as a result of another\'s negligent or careless behavior.","personal injury, maritime, attorney, new orleans, baton rouge, louisiana, medical expenses, lost wages, the young firm, lawyer"
http://www.theyoungfirm.com/html/publications.html,1,200,51,Publications,86,8,23793,"The Young Firm - Serving New Orleans, Louisiana - Publications",We invite you to review our publications if you are seeking more information on filing a personal injury claim for an offshore or maritime injury.,"young firm, personal injury, maritime, admiralty, lawyers, new orleans, lousiana, publications"
http://www.theyoungfirm.com/html/maritime.html,1,200,51,Maritime Claims,81,8,24670,"Maritime, Admiralty, and Boating Accident Attorneys – Louisiana, Gulf Coast","At The Young Firm, our maritime, admiralty, and boating accident attorneys serve clients throughout Louisiana and the Gulf Coast. We have been representing injured seamen and maritime workers for more than 40 years. Our maritime attorneys handle claims on behalf of injured longshoreman, harbor workers, oil rig workers, and shipyard workers.","maritime, admiralty, boating accident, attorneys, louisiana, gulf coast, young firm, seamen, workers, longshoreman, harbor, oil rig, shipyard, verdicts, settlements, admiralty, jones act, death on the high seas, longshore, cruise ship, seaman, offshore injury, oil rig, shore excursions, diving accidents, nearshore"
http://www.theyoungfirm.com/html/admiralty.html,1,200,51,Admiralty Claims,81,8,25757,Louisiana and Gulf Coast Admiralty and Boating Accident Lawyer,Each Louisiana and Gulf Coast admiralty and boating accident lawyer at The Young Firm handles claims involving maritime offenses. We help our clients navigate this complicated area of law and obtain compensation for their injuries.,"louisiana, gulf coast, admiralty, boating accident, lawyer, the young firm, jones act, longshore and harbor workers act, maritime law, injured seamen, oil rig, cruise ships, workers compensation, compensation, medical bills, rehabilitation costs"
